from_stop_id,to_stop_id,transfer_type,min_transfer_time
1006245,1006323,2,128
1006245,1006244,2,29
1006245,1006246,2,126
1006312,1006245,2,132
1006312,1006323,2,7
1006313,1006322,2,19
1006314,1006321,2,11
1006315,1006316,2,105
1006315,1006319,2,109
1006315,1006320,2,13
1006316,1006315,2,105
1006316,1006319,2,10
1006316,1006320,2,114
1006241,1006240,2,15
1006317,1006239,2,133
1006317,1006318,2,11
1006239,1006317,2,133
1006239,1006238,2,29
1006239,1006318,2,136
1006237,1006236,2,12
1006235,1006234,2,21
1006233,1006232,2,11
1006079,1006064,2,10
1004267,1002026,2,120
1004267,1000923,2,34
1001750,1007638,2,15
1004231,1001975,2,43
1006064,1006079,2,10
1006232,1006233,2,11
1006234,1006235,2,21
1006236,1006237,2,12
1006238,1006239,2,29
1006318,1006317,2,11
1006318,1006239,2,136
1006240,1006241,2,15
1006319,1006315,2,109
1006319,1006316,2,10
1006319,1006320,2,117
1006320,1006315,2,13
1006320,1006316,2,114
1006320,1006319,2,117
1006321,1006314,2,11
1006322,1006313,2,19
1006323,1006245,2,128
1006323,1006312,2,7
1006244,1006245,2,29
1006244,1006246,2,110
1006246,1006247,2,105
1006246,1006245,2,126
1006246,1006244,2,110
1006248,1006249,2,23
1006248,1009040,2,113
1006248,1009041,2,117
1006250,1006251,2,49
1003225,1003224,2,64
1002572,1002571,2,30
1003663,1003827,2,134
1007533,1000663,2,44
1000664,1002231,2,42
1003472,1003410,2,44
1003073,1000430,2,116
1003073,1006122,2,138
1003885,1000430,2,69
1000866,1000865,2,52
1000182,1000181,2,33
1006110,1002870,2,14
1001989,1000575,2,51
1003383,1003396,2,90
1003383,1003382,2,116
1003383,1000042,2,16
1003396,1003383,2,90
1003396,1003382,2,28
1003396,1000042,2,91
1000678,1000677,2,27
1000678,1001343,2,118
1004168,1006108,2,25
1000145,1000144,2,10
1001988,1001987,2,66
1001987,1001988,2,66
1001987,1002172,2,91
1002172,1001987,2,91
1000144,1000145,2,10
1008202,1008203,2,130
1008202,1000029,2,132
1008202,1004101,2,134
1008203,1008202,2,130
1008203,1000029,2,51
1008203,1000028,2,23
1000803,1000802,2,21
1000802,1000803,2,21
1002723,1002724,2,22
1000029,1008202,2,132
1000029,1008203,2,51
1000029,1000028,2,40
1004101,1008202,2,134
1006108,1004168,2,25
1000677,1000678,2,27
1000677,1001343,2,112
1003382,1003383,2,116
1003382,1003396,2,28
1003382,1000042,2,114
1000042,1003383,2,16
1000042,1003396,2,91
1000042,1003382,2,114
1000575,1001989,2,51
1002870,1006110,2,14
1000181,1000182,2,33
1000865,1000866,2,52
1000430,1003073,2,116
1000430,1003885,2,69
1003410,1003472,2,44
1002231,1000664,2,42
1002231,1007534,2,130
1000663,1007533,2,44
1006414,1008037,2,141
1006414,1008025,2,97
1006367,1006368,2,20
1006369,1006370,2,29
1006371,1006372,2,62
1006373,1006374,2,87
1006375,1006376,2,15
1006377,1006378,2,55
1006379,1006380,2,14
1006383,1006384,2,63
1006385,1006386,2,13
1006388,1006389,2,20
1006390,1006391,2,38
1006392,1006393,2,18
1006394,1006395,2,48
1006396,1006397,2,25
1006398,1006399,2,66
1006402,1006403,2,42
1006404,1006405,2,20
