route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
30000121,25101001,251010010005S7,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101001,251010010005S8,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101001,251010010005S9,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S10,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S11,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S12,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S13,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S14,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S15,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S16,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S17,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S18,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S19,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S2,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S3,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S4,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S5,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S6,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S7,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S8,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020004S9,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S10,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S11,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S12,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S13,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S14,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S15,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S2,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
30000121,25101002,251010020005S3,MRT SUNGAI BULOH - BUKIT RAHMAN PUTRA,0,1000000509
