from_stop_id,to_stop_id,transfer_type,min_transfer_time
1003538,1005769,2,852
1003538,1008646,2,886
1003538,1002264,2,349
1003538,1003656,2,511
1003538,1004188,2,445
1003538,1005062,2,263
1003538,1001247,2,674
1003538,1003264,2,802
1003538,12000479,2,367
1003538,12000759,2,625
1003538,12000761,2,509
1004190,1003538,2,471
1004190,1002675,2,903
1004190,1002264,2,771
1004190,1003656,2,620
1004190,1002920,2,759
1004190,1004188,2,64
1004190,1005062,2,722
1004190,1001610,2,888
1004190,12000479,2,780
1004190,12000761,2,620
1004190,12000767,2,770
1004190,12000769,2,803
1002675,1004190,2,903
1002675,1001955,2,226
1002675,1000650,2,926
1002675,1000467,2,828
1002675,1002920,2,497
1002675,1004188,2,933
1002675,1001395,2,335
1002675,1001610,2,67
1002675,12000767,2,507
1002675,12000769,2,100
1002675,12000781,2,828
1001955,1002675,2,226
1001955,1003407,2,983
1001955,1000650,2,738
1001955,1000467,2,614
1001955,1002920,2,654
1001955,1001395,2,116
1001955,1001610,2,250
1001955,12000767,2,660
1001955,12000769,2,326
1001955,12000781,2,615
1003407,1001955,2,983
1003407,1000650,2,636
1003407,1000467,2,463
1003407,1001077,2,684
1003407,1001845,2,690
1003407,1003406,2,81
1003407,1001395,2,881
1003407,12000771,2,30
1003407,12000779,2,690
1003407,12000780,2,68
1003407,12000781,2,462
1001007,1002619,2,632
1001007,1002617,2,903
1001007,1004179,2,795
1001007,1001077,2,468
1001007,1002618,2,643
1001007,1001845,2,438
1001007,12000772,2,1
1001007,12000779,2,438
1002619,1001007,2,632
1002619,1002617,2,272
1002619,1004179,2,248
1002619,1003630,2,978
1002619,1002618,2,57
1002619,12000772,2,632
1002617,1001007,2,903
1002617,1002619,2,272
1002617,1004179,2,222
1002617,1003630,2,964
1002617,1002618,2,263
1002617,1002621,2,832
1002617,1002620,2,769
1002617,12000772,2,903
1001729,1002621,2,601
1001729,1002620,2,655
1003129,1003339,2,578
1003339,1006036,2,763
1003339,1003129,2,578
1000165,1001509,2,549
1000165,1001785,2,252
1000165,1002556,2,685
1000165,1001784,2,468
1000165,1000166,2,278
1000165,KJ21,2,582
1002556,1001828,2,881
1002556,1006035,2,704
1002556,1001509,2,218
1002556,1001785,2,935
1002556,1000165,2,685
1002556,1000203,2,682
1002556,1000166,2,713
1002556,KJ20,2,954
1002012,1000944,2,327
1002012,1003538,2,951
1002012,1000836,2,193
1002012,1000980,2,645
1002012,1002865,2,226
1002012,1005767,2,886
1002012,1005769,2,425
1002012,1008646,2,73
1002012,1002264,2,780
1002012,1005062,2,694
